time;VM;P11;P22;S
11.0;82.9909996336;76.2637608066;8.83752559077;82.9909996336
11.1;61.4146901557;-11.7438063052;-66.1778125739;-61.4146901557
11.2;20.9054414176;-11.6193049235;-23.3024973581;-20.9054414176
11.3;190.915610386;218.44182842;92.7549894223;190.915610386
11.4;472.545182639;541.144377607;251.937588581;472.545182639
11.5;651.071591656;745.297558907;352.800487415;651.071591656
11.6;622.472647632;713.128253467;333.232823324;622.472647632
11.7;442.875542531;507.836158853;227.216235299;442.875542531
11.8;249.624945053;285.903423814;122.139100121;249.624945053
11.9;126.611291772;143.043376169;66.3146397398;126.611291772
12.0;81.7344999246;78.4729562591;14.6509043397;81.7344999246
12.1;77.7688962628;26.7606447166;-59.204834154;-77.7688962628
12.2;105.526752697;-28.1550175729;-116.473424678;-105.526752697
12.3;85.1896831451;-32.7001667649;-96.550655289;-85.1896831451
12.4;49.4058612815;49.6489648878;11.6991368926;49.4058612815
12.5;194.390127486;218.297676136;106.4754673;194.390127486
12.6;299.841067971;340.711177529;165.433209075;299.841067971
12.7;327.485401602;374.287133232;175.662850329;327.485401602
12.8;314.202068807;359.882869163;162.564417015;314.202068807
12.9;302.407723973;346.223443373;157.518040751;302.407723973
13.0;296.261079825;338.31425327;159.211074278;296.261079825
13.1;266.524647882;303.198047453;145.589365746;266.524647882
13.2;199.899386656;226.351052743;108.740286598;199.899386656
13.3;123.661476835;138.581411506;65.2109235587;123.661476835
13.4;81.5866515102;89.1488570323;39.8940314763;81.5866515102
13.5;93.1419619581;102.177914202;46.7648902964;93.1419619581
13.6;152.142844249;171.716821244;81.4224914217;152.142844249
13.7;248.644282972;284.016183537;131.715570146;248.644282972
13.8;359.874888518;412.234693112;187.938808123;359.874888518
13.9;442.596747762;507.020962454;233.890009181;442.596747762
14.0;448.85913359;513.619647648;241.301102997;448.85913359
14.1;365.679185557;418.029626076;196.849820254;365.679185557
14.2;232.555964599;265.491595084;123.228927156;232.555964599
14.3;109.805458483;123.158779931;57.0640216631;109.805458483
14.4;54.0437673317;43.9398521894;-5.27629334714;54.0437673317
14.5;77.1524121387;14.1289102267;-68.5413200055;-77.1524121387
14.6;92.9984355692;-9.46925883658;-97.0266040459;-92.9984355692
14.7;63.6329038107;-7.12740513741;-66.6011573453;-63.6329038107
14.8;57.4402310327;60.7397727298;22.3064642933;57.4402310327
14.9;196.172307254;222.529255156;106.086620005;196.172307254
15.0;335.207423942;382.876049696;181.02520087;335.207423942
15.1;419.865713999;480.725431972;223.281924089;419.865713999
15.2;439.759224844;503.978960299;230.176754037;439.759224844
15.3;416.4214403;477.300693865;216.249328972;416.4214403
15.4;369.334477226;423.019588682;193.729433513;369.334477226
15.5;299.711457873;342.269257409;161.128824771;299.711457873
